State,BoreholeName,BoreholeURI,x,y,countSum,Length,TsgLink
sa,SR13/2,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/16794,136.1763022,-29.0068422,0,900.27,https://nvclstore.z8.web.core.windows.net/SA/16794_SR13_2.zip
sa,LD 2,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/169145,140.534987,-36.7605816,483,185.0,https://nvclstore.z8.web.core.windows.net/SA/169145_LD2.zip
sa,LD 1,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/169147,140.576258,-36.8101266,339,150.0,https://nvclstore.z8.web.core.windows.net/SA/169147_LD1.zip
sa,LED002,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/169555,134.7638755,-31.2259951,25,262.6,https://nvclstore.z8.web.core.windows.net/SA/169555_LED002.zip
sa,LED003,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/169556,134.7635565,-31.2277261,74,413.0,https://nvclstore.z8.web.core.windows.net/SA/169556_LED003.zip
sa,LED010,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/169870,134.7618815,-31.2258831,113,450.0,https://nvclstore.z8.web.core.windows.net/SA/169870_LED0010.zip
sa,LRC32D,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/169871,134.7664475,-31.2261351,53,450.0,https://nvclstore.z8.web.core.windows.net/SA/169871_LRC32D.zip
sa,BRD 1,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/170020,137.3016708,-30.3980773,2240,890.6,https://nvclstore.z8.web.core.windows.net/SA/170020_BRD1.zip
sa,MM 11,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/171734,140.9253915,-32.2611896,273,423.98,https://nvclstore.z8.web.core.windows.net/SA/171734_MM11.zip
sa,MM 14,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/171750,140.9222045,-32.2508766,48,1619.1,https://nvclstore.z8.web.core.windows.net/SA/171750_MM14.zip
sa,WILKLOW GRAPHITE 2,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/17240,136.7760227,-33.5679953,443,66.59,https://nvclstore.z8.web.core.windows.net/SA/17240_WilklowGraphite2.zip
sa,SHR 39,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/173783,139.7355945,-35.3070425,19,126.9,https://nvclstore.z8.web.core.windows.net/SA/173783_SHR039.zip
sa,CALCOOKARA MINE DDH 1,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/17456,136.7245807,-33.6192143,104,58.22,https://nvclstore.z8.web.core.windows.net/SA/17456_Calcookara_Mine_DDH1.zip
sa,98WDDH 1,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/175315,136.4810998,-32.7769123,140,287.8,https://nvclstore.z8.web.core.windows.net/SA/175315_98WDDH1.zip
sa,98WDDH 2,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/175316,136.4815868,-32.7786203,221,243.5,https://nvclstore.z8.web.core.windows.net/SA/175316_98WDDH2.zip
sa,98WDDH 4,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/175318,136.4813618,-32.7759803,421,172.0,https://nvclstore.z8.web.core.windows.net/SA/175318_98WDDH4.zip
sa,TER 1,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/180584,137.4953803,-34.7844003,285,199.0,https://nvclstore.z8.web.core.windows.net/SA/180584_TER_1.zip
sa,VANGUARD 1,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/18092,136.9301398,-31.4397343,1405,1096.0,https://nvclstore.z8.web.core.windows.net/SA/18092_Vanguard 1.zip
sa,BD 1,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/18189,136.843693,-30.1486023,7770,941.0,https://nvclstore.z8.web.core.windows.net/SA/18189_BD1.zip
sa,BD 2,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/18190,136.815018,-30.1223973,1391,829.4,https://nvclstore.z8.web.core.windows.net/SA/18190_BD2.zip
sa,PIGLET 1,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/182173,132.5306821,-29.8427921,2004,688.0,https://nvclstore.z8.web.core.windows.net/SA/182173_Piglet_1.zip
sa,CD 2,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/183619,129.478461,-31.167437,42,194.8,https://nvclstore.z8.web.core.windows.net/SA/183619_CD_2.zip
sa,CD 3,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/183620,129.2794191,-30.971374,75,206.15,https://nvclstore.z8.web.core.windows.net/SA/183620_CD_3.zip
sa,BLACK HILL 1,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/184147,139.4525436,-34.6578754,188,749.0,https://nvclstore.z8.web.core.windows.net/SA/184147_BlackHill1_Core.zip
sa,GY 1,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/184730,137.1732637,-31.4437383,114,37.7,https://nvclstore.z8.web.core.windows.net/SA/184730_GY1.zip
sa,GY 13,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/184731,137.1817187,-31.4453993,849,53.0,https://nvclstore.z8.web.core.windows.net/SA/184731_GY13.zip
sa,KOKDD 13,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/185410,135.1234164,-31.0266041,215,69.9,https://nvclstore.z8.web.core.windows.net/SA/185410_KOKDD13.zip
sa,KOKDD 15,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/185412,135.1237794,-31.0232471,16,37.6,https://nvclstore.z8.web.core.windows.net/SA/185412_ KOKDD15.zip
