BoreholeURI,x,y,BoreholeName,State,Length,TsgLink
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/23393,137.9740002,-33.9360173,BUTE DDH 11,sa,11.44,
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/23394,137.9770252,-33.8591503,BUTE DDH 12,sa,13.1,
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/23395,137.9280932,-33.8517413,BUTE DDH 13,sa,20.9,
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/234075,135.6858423,-29.9907372,07SH13,sa,702,https://nvclstore.z8.web.core.windows.net/SA/234075_07SH13_Prom Hill.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/234076,136.2695431,-30.1411193,07PD01,sa,1009.3,https://nvclstore.z8.web.core.windows.net/SA/234076_07PD01.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/234096,137.0291868,-30.1226523,DD07CH04,sa,231.5,https://nvclstore.z8.web.core.windows.net/SA/234096_DD07CH04.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/234118,129.713381,-26.89647,DD07HAR001,sa,266.41,https://nvclstore.z8.web.core.windows.net/SA/234118_DD07HAR001.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/234167,133.6224679,-30.4110251,DMDD-001,sa,234,https://nvclstore.z8.web.core.windows.net/SA/234167_DMDD001.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/234168,133.6235909,-30.4111271,DMDD-002,sa,318,https://nvclstore.z8.web.core.windows.net/SA/234168_DMDD002.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/234169,133.6319839,-30.4094101,DMDD-003,sa,321,https://nvclstore.z8.web.core.windows.net/SA/234169_ DMD003.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/234697,137.2534895,-33.3113533,MDD001,sa,754.1,https://nvclstore.z8.web.core.windows.net/SA/234697_MDD_001.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/234698,137.2771245,-33.3104263,MDD002,sa,856.1,https://nvclstore.z8.web.core.windows.net/SA/234698_MDD002.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/234699,137.2925265,-33.2883483,MDD003,sa,150,https://nvclstore.z8.web.core.windows.net/SA/234699_MDD003.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/234700,137.2927445,-33.2893093,MDD004,sa,177.2,https://nvclstore.z8.web.core.windows.net/SA/234700_MDD_004.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/234701,137.2931045,-33.2907633,MDD005,sa,203.2,https://nvclstore.z8.web.core.windows.net/SA/234701_MDD005.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/235593,136.4658032,-28.6693012,DCDH-04-01,sa,458.3,https://nvclstore.z8.web.core.windows.net/SA/235593_DCDH0401.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/235860,137.4019535,-31.3952074,HL002,sa,659.9,https://nvclstore.z8.web.core.windows.net/SA/235860_ HL0002.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/23633,137.6688803,-33.9774903,DDH 114,sa,747.64,https://nvclstore.z8.web.core.windows.net/SA/23633_Doora_DH114.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/237056,129.709947,-26.896496,DD07HAR003,sa,776.16,https://nvclstore.z8.web.core.windows.net/SA/237056_DD07HAR003.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/237074,135.1552184,-29.8573412,MRK003,sa,214.4,https://nvclstore.z8.web.core.windows.net/SA/237074_MRK003.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/237075,135.1791144,-29.8339282,MRK004,sa,607.1,https://nvclstore.z8.web.core.windows.net/SA/237075_MRK004.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/237076,135.1909714,-29.8312042,MRK005,sa,619,https://nvclstore.z8.web.core.windows.net/SA/237076_MRK005.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/237077,135.2567424,-29.8480142,MRK006,sa,603.4,https://nvclstore.z8.web.core.windows.net/SA/237077_MRK006.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/23709,137.7353073,-33.8745743,DDH 224,sa,250,
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/237136,135.0398446,-28.4317972,BNW01A,sa,601.5,https://nvclstore.z8.web.core.windows.net/SA/237136_BNW01A.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/237529,136.3344971,-30.1122413,08PD04C,sa,1157,https://nvclstore.z8.web.core.windows.net/SA/237529_08PD04C.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/238000,138.9183708,-34.3471144,K 1,sa,76.2,https://nvclstore.z8.web.core.windows.net/SA/238000_K1.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/238001,138.9186529,-34.3470314,K 3,sa,76.2,https://nvclstore.z8.web.core.windows.net/SA/238001_K3.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/238004,138.9170288,-34.3474084,K 7,sa,76.2,https://nvclstore.z8.web.core.windows.net/SA/238004_K7.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/238005,138.9177878,-34.3472384,K 8,sa,128.3,https://nvclstore.z8.web.core.windows.net/SA/238005_K8.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/238006,138.9180139,-34.3471784,K 9,sa,74.9,https://nvclstore.z8.web.core.windows.net/SA/238006_K9.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/238007,138.9189638,-34.3526074,K 10,sa,91.7,https://nvclstore.z8.web.core.windows.net/SA/238007_K10.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/238008,138.9181289,-34.3471524,K 11,sa,42.6,https://nvclstore.z8.web.core.windows.net/SA/238008_K11.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/238009,138.9170738,-34.3473984,K 12,sa,120.7,https://nvclstore.z8.web.core.windows.net/SA/238009_K12.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/238010,138.9163919,-34.3475524,K 13,sa,161.5,https://nvclstore.z8.web.core.windows.net/SA/238010_K13.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/238011,138.9167229,-34.3474754,K 14,sa,74.9,https://nvclstore.z8.web.core.windows.net/SA/238011_Kiillro1A.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/238431,138.9169759,-34.3452014,K 33,sa,107.2,
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/238432,138.9158798,-34.3460274,K 34,sa,128,https://nvclstore.z8.web.core.windows.net/SA/238432_K34.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/238433,138.9151699,-34.3479334,K 35,sa,161.5,https://nvclstore.z8.web.core.windows.net/SA/238433_K35.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/238438,138.9155968,-34.3471834,K 36,sa,126.49,
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/238457,138.9169858,-34.3491374,K 45,sa,124.3,https://nvclstore.z8.web.core.windows.net/SA/238457_K45.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/238458,138.9179228,-34.3517734,K 46,sa,106.3,https://nvclstore.z8.web.core.windows.net/SA/238458_K46.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/238459,138.9148469,-34.3450684,K 47,sa,121.9,https://nvclstore.z8.web.core.windows.net/SA/238459_K47.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/238460,138.9174609,-34.3501624,K 48,sa,136.2,https://nvclstore.z8.web.core.windows.net/SA/238460_K48.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/23922,137.9538553,-33.3845093,PP 2,sa,544.1,https://nvclstore.z8.web.core.windows.net/SA/23922_PP2.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/23928,137.9527613,-33.3566333,PP 8,sa,457.6,https://nvclstore.z8.web.core.windows.net/SA/23928_PP8.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/23932,137.9567483,-33.4634683,PP 12,sa,627.4,https://nvclstore.z8.web.core.windows.net/SA/23932_PP12.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/23935,137.8959784,-33.2271783,PP 15,sa,800.8,https://nvclstore.z8.web.core.windows.net/SA/23935_PP15.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/239604,132.0312623,-30.2152381,KD 2A,sa,342,https://nvclstore.z8.web.core.windows.net/SA/239604_KD2A.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/239706,134.0827929,-27.3740252,EWHDDH01,sa,831.17,https://nvclstore.z8.web.core.windows.net/SA/239706_EWHDDH01.zip
